BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
180,33615,"731,407","731,408",1,72,"8,227","101,233","252,241","653,059.5","2,511,022"
181,33616,"765,022","765,023",1,292,"5,528","98,163.5","132,221","222,888","2,262,918"
182,33615,"798,638","798,638",0,252,"36,401","93,310.5","113,128","138,771","2,053,870"
183,33615,"832,253","832,253",0,60,"54,777","83,729","107,198.5","242,128","2,035,525"
184,33615,"865,868","865,868",0,159,"10,818","88,396","119,586.5","455,571","1,914,215"
185,33616,"899,483","899,484",1,147,"9,559","48,259.5","117,144","427,320.5","1,805,958"
186,33615,"933,099","933,099",1,120,"8,327","83,310","139,274","477,366","1,718,249"
187,33615,"966,714","966,714",1,137,"6,513","80,081","112,733","379,267","1,612,935"
188,33615,"1,000,329","1,000,329",0,217,"30,754","71,303","87,236","208,688","1,421,675"
189,33615,"1,033,944","1,033,944",0,98,"43,564","47,003","97,920","223,391","1,353,077"
190,33616,"1,067,559","1,067,560",0,153,"7,714","70,092","122,023.5","197,448","1,228,648"
191,33615,"1,101,175","1,101,175",0,181,"45,801.2","73,463.5","127,400","795,165.5","1,743,828.4"
192,33615,"1,134,790","1,134,790",1,131,"8,808","63,149","248,824.5","746,123","1,430,329"
193,33615,"1,168,405","1,168,406",1,161,"8,986","116,331","650,310","1,131,266","2,090,290"
194,33615,"1,202,020","1,202,020",1,495,"7,774","97,489","462,812","921,463","1,617,793"
195,33615,"1,235,635","1,235,636",1,153,"6,606.2","106,015","356,792","980,529","1,472,326.6"
196,33615,"1,269,250","1,269,250",1,349,"7,070","89,857","230,882","716,503","1,213,425"
197,33615,"1,302,865","1,302,865",0,142,"42,674","299,054","1,052,282","1,558,331","2,468,442"
