BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
168,2,"2,382,714","2,382,714",0,10,173.8,263,345,"606,284","1,143,536.6"
169,1,"2,382,715","2,382,715",0,2,613.8,664,715,"610,961","1,150,798.7"
170,1,"2,382,716","2,382,716",0,36,552.3,"1,067","1,310","581,518","1,123,316.4"
171,1,"2,382,717","2,382,717",0,4,"1,112","1,217","1,265","585,077","1,126,134"
172,1,"2,382,718","2,382,718",0,19,663.7,800,832,"586,813","1,118,122.6"
173,1,"2,382,719","2,382,719",0,2,812.8,927,973,"590,604","1,122,558.3"
174,1,"2,382,720","2,382,720",0,23,669.5,757,"1,017.5","572,200","1,123,371.6"
175,2,"2,382,722","2,382,722",0,4,"1,160.7","1,238","1,286.5","574,756","1,124,871.9"
176,2,"2,382,724","2,382,724",0,11,707.3,835,869,"573,868","1,131,445.9"
177,1,"2,382,725","2,382,725",0,6,477.1,590,692.5,"574,152","1,129,880.2"
178,1,"2,382,726","2,382,726",0,17,"1,160.7","1,251","1,310.5","563,668","1,119,391.8"
179,1,"2,382,727","2,382,727",0,59,963.9,"1,120","1,170.5","510,446","1,069,975.1"
180,1,"2,382,728","2,382,728",0,35,952,"1,306","1,581.5","481,915","1,039,525.9"
181,3,"2,382,731","2,382,731",0,93,902.8,"1,018","1,202.5","397,889","952,067.1"
182,3,"2,382,734","2,382,734",0,17,289.4,343,392.5,"386,604","942,369.7"
183,6,"2,382,740","2,382,740",0,125,"1,050.5","1,165","1,191","266,814","823,977"
184,2,"2,382,742","2,382,742",0,50,269.3,388,613,"222,361","784,611"
185,6,"2,382,748","2,382,748",0,275,"7,763.4","7,906","8,134.5","16,008","516,376.8"
186,6,"2,382,754","2,382,754",0,48,275,350,390,"9,173","467,774.4"
187,9,"2,382,763","2,382,763",0,47,499.6,596,630,"27,315","441,978.2"
188,4,"2,382,767","2,382,767",0,37,264.2,317,531,"9,825","412,863.2"
189,5,"2,382,772","2,382,772",0,51,"11,907","12,029","12,297","22,513","367,746.4"
190,1,"2,382,773","2,382,773",0,69,718.8,769,836,"7,627","304,603"
191,12,"2,382,785","2,382,785",0,45,817.8,855,904,"27,348","268,097"
192,7,"2,382,792","2,382,792",0,7,642.8,674,731,"29,216","273,266.6"
193,17,"2,382,809","2,382,809",0,164,660,730,751,"15,870","114,618.4"
194,62,"2,382,871","2,382,871",0,202,"5,745.6","5,820","6,047","14,047","32,217"
195,21,"2,382,892","2,382,892",0,103,"5,293.8","5,506","5,618","11,192","17,706"
196,41,"2,382,933","2,382,933",0,148,"8,833","9,063","9,248","15,768","37,851"
197,2,"2,382,935","2,382,935",0,18,780.6,813,838,"7,003","40,410"
198,9,"2,382,944","2,382,944",0,46,956,"1,056","1,204","6,557","35,215.6"
199,12,"2,382,956","2,382,956",0,2,782.2,877,964,"9,382","51,676.4"
200,21,"2,382,977","2,382,977",0,69,669.8,750,885,"6,854","52,428.4"
201,1,"2,382,978","2,382,978",0,12,"10,138.6","10,464","10,557","14,105","62,735.4"
202,1,"2,382,979","2,382,979",0,19,"13,328.8","13,392","13,698","18,317","67,812.8"
203,21,"2,383,000","2,383,000",0,57,503.4,611,742,"5,891","55,716.2"
