BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
66,5802,506702,532421,2,165,9174,132427,274863,557115,740324
67,35620,542298,552020,2,129,11230.600000000002,108299,287188,403886,671718.6
68,25349,562529,601672,3,91,8732,120490,208286,320794,610527
69,7617,584986,618870,2,99,10301,86171,142142,264550,557895.5000000002
70,46195,631181,631181,0,86,38496,98796,227059.5,443958,659633
71,25310,656491,687124,1,72,17612.400000000027,111373,394262,582339,727045.8999999999
72,86432,711361,742923,1,181,64069,145414,367623,484923,921982
73,68550,757825,811473,1,253,37507,125162,220248,321935,1053838
74,56304,867777,867777,0,50,42162,127934,293611,375523,1059806
75,94054,892072,961831,1,178,7004,92470,183979.5,278887.5,1087625
76,65932,962513,1027763,0,113,57413,162210,379885,815328,1522974
77,30310,1031274,1058073,1,131,7939,120974,475005.5,749056,1369785
78,4406,1062479,1064199,1,79,11129,151521,504291.5,871755,1687154
79,2473,1064952,1076027,1,355,72195,117173,313242,892199,1561843.8
80,134483,1078329,1199435,1,206,85762,157064,353848,848909,1511766.5
81,11924,1125464,1211359,0,257,10101,52974,166979,696687,1422292
82,39964,1233123,1251323,0,176,36525,78419,139761,463393,1328186
83,24391,1256503,1275714,0,506,90002,104261,271015,391209,943061
84,134482,1410196,1410196,0,224,83373,111119,469009,890619,2353282
85,40237,1412406,1450433,1,149,23636,72120,397067,697891,1473293
86,72796,1523229,1523229,0,732,61350,107019,156707,262575,810079
87,52373,1575602,1575602,0,266,90151,138006,244897,374761,1872338
88,67519,1643121,1643121,0,142,38625.600000000006,86939,173390,645947,2433005.1999999885
89,110020,1753141,1753141,0,366,82815.80000000002,124954,197182,719515,2301350.3999999887
90,90060,1843201,1843201,0,184,41550,57429,244728,834803,4481070
91,83958,1843202,1927159,0,99,22125,57119,210336,739653,2139968
92,47993,1975152,1975152,0,110,16131.300000000003,25287.5,155349,690979,2384974.5999999866
93,43967,2019119,2019119,0,76,6114,19462,125966,728048,3802962.3999999966
94,1,2019120,2019120,0,98,1031.6000000000001,1220,51229,715523,3893298.3999999966
95,1,2019121,2019121,0,68,1422.8000000000002,1557,15523,697990,3841813.9999999967
96,14141,2033262,2033262,0,789,67828,81897,110962.5,173360,2983017
97,78717,2111979,2128767,1,308,331838,364388,526951,1198829,3256913
98,69278,2118819,2181257,1,351,20046,43970,264537,1960144,2950333
